experiment_id,measurement_number,time_seconds,measured_temperature,sensor_id,condition,source_file,sheet_name,data_origin
dataset_1_cooling_without_pcm_600lph_data_flowrate,59,58.0,0.637,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,60,59.0,0.396,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,61,60.0,0.558,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,62,61.0,0.615,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,63,62.0,0.543,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,64,63.0,0.573,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,65,64.0,0.573,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,66,65.0,0.597,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,67,66.0,0.572,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,68,67.0,0.573,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,69,68.0,0.565,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,70,69.0,0.589,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,71,70.0,0.587,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,72,71.0,0.603,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,73,72.0,0.57,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,74,73.0,0.587,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,75,74.0,0.6,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,76,75.0,-0.001,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
dataset_1_cooling_without_pcm_600lph_data_flowrate,77,76.0,-0.001,flowrate,without_pcm,real_data_raw/cooling/zenodo_5146090/Dataset_1_Cooling without PCM_600lph.xlsx,Data,real
